,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
153,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,1,0.0,1,161.0,,,309.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,,100.0
154,13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,5,0.0,7,295.0,,,380.0,1.0,16.67,0.9,0.0,0.0,0.0,152.0,,100.0
155,12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,5,0.0,5,1075.0,,,1107.0,2.0,66.67,0.51,0.0,0.0,0.0,0.0,,100.0
156,11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,0.0,1,75.0,,,478.0,0.0,0.0,0.64,0.0,0.0,0.0,69.0,,100.0
157,60,Yukon,Yukon,17-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
158,61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,0.0,0,145.0,,,3235.0,0.0,0.0,0.0,0.0,0.0,,7.0,,
159,62,Nunavut,Nunavut,17-03-2020,0,0,0.0,0,7.0,,,181.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
160,99,Repatriated travellers,Voyageurs rapatriés,17-03-2020,8,0,0.0,8,29.0,,,,4.0,100.0,,,0.0,0.0,0.0,,100.0
161,1,Canada,Canada,17-03-2020,424,16,8.0,440,44176.0,,,1175.0,99.0,29.03,1.17,0.021,3.0,1.82,6446.0,,98.18
162,59,British Columbia,Colombie-Britannique,18-03-2020,186,0,7.0,186,13388.0,,,2640.0,83.0,80.58,3.67,0.138,0.0,3.76,1776.0,,96.24
163,48,Alberta,Alberta,18-03-2020,97,0,0.0,97,13686.0,,,3131.0,23.0,31.08,2.22,0.0,0.0,0.0,2199.0,,100.0
164,47,Saskatchewan,Saskatchewan,18-03-2020,2,6,0.0,8,1910.0,,,1626.0,1.0,14.29,0.68,0.0,0.0,0.0,844.0,,100.0
